smiles,activity
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C2=CC=C3N2N=CN=C3N)OC4=CC=CC=C4,1
CC(C)(O)CNC1=NC=C(C(=N1)CC2CC2)C3=CC=NC(=N3)NC4=CC=NC(=C4)Cl,1
CC1=CC=CC(=C1)NC2=NC(=CS2)C3=CC=NC=C3,1
CC(C)(O)CNC1=NC=C(C(=N1)CC2CC2)C3=CC=NC(=N3)NC4=CC=NC=C4,1
CC1(CCCCCCC1)N2CCC(CC2)[N]3C4=C(C=CC=C4)N=C3[C@@H]5CCCNC5,1
COC1=C(OCCN2CCCC2)C=CC(=C1)N3\C=N/C4=C(SC(=C4)C5=CC=C(Cl)C=C5)C3=O,1
CCN(CC)CC1=C(O)C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl,1
CN1CN(C2=CC=CC=C2)C3(CCN(CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,1
CN3CCC[C@@H]3CCO[C@](C)(c1ccccc1)c2ccc(Cl)cc2.O=C(O)/C=C/C(=O)O,1
COC1=CC=C(NC(=O)C2=CC=C(C=C2)C3=CC=C(C=C3C)C4=NN=C(C)O4)C=C1N5CCN(C)CC5,1
FC(F)C(F)(F)COC1=CC=CC(=C1)CNCCC2=C[NH]C3=C2C=CC(=C3)F,1
CN(C)CC\C=C1/c3ccccc3Sc2ccc(Cl)cc12,1
CN1CC[C@@H](C1)CN2C3=C(SC4=C2C=CC=C4)C=CC=C3,1
COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,1
CC(=O)c2cc3N(CCCN1CCC(CCO)CC1)c4ccccc4Sc3cc2,1
OC(C(C)N(C)CCOC(c1ccccc1)c2ccccc2)c3ccccc3,1
COC1=CC=CC=C1N2CCN(CC2)CC[C@@](C)(C(=O)C3CCCCC3)C4=CC=CC=C4,1
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,1
OC1=C2O[C@H]3C4=C(C[C@@]5(O)[C@H]6CC(=C2[C@@]35CCN6CC7CC7)C=C1)C8=C([NH]4)C(=CC=C8)N=C=S,1
CN1CCCCC1C[N]2C=C(C(=O)C3=C(I)C=CC(=C3)[N+]([O-])=O)C4=C2C=CC=C4,1
CCN(CC)CCC[S+]([O-])(=O)N[C@H](CCC1=CC=CC=C1)C2=NC(=NO2)CC3=CC=C(Br)C=C3,1
COC1=CC=C(N[S+]([O-])(=O)C2=C(C)C3=CC(=CC=C3S2)Cl)C=C1N4CCNCC4,1
CN1CCN(CC1)C2=CC(=CC=C2O)NC(=O)C3=CC=C(C=C3)C4=CC=C(C=C4C)C5=NN=C(C)O5,1
C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2)C(=O)CF,1
CC[C@H](NC(=O)[C@H](C[S+]([O-])(=O)CC1CC1)N[C@@H](C2=CC=C(F)C=C2)C(F)(F)F)C(=O)C(=O)NC3CC3,1
OC1=CC=C(CCNC(=O)[C@H]2O[C@@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)NCC4=CC=CC=C4)C=C1,1
C[N]1N=C(C=C1C(=O)N[C@@H](CC2=CC=CC(=C2)Cl)C(=O)NCC#N)C(C)(C)C,1
CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,1
